sale.price,lot.size,living.area,bedrooms
320000,0.61,2492,4
215000,0.63,1792,3
125000,0.35,1040,3
158900,0.21,1292,3
82000,0.17,1412,2
219200,1.08,1735,4
125000,0.16,852,2
110000,0.15,988,2
179000,0.6,2128,3
264900,0.55,1897,4
208000,0.12,1242,2
126000,0.74,1200,3
164700,0.16,1602,2
339000,0.68,2132,3
150000,0.08,1392,3
425000,1,3210,3
437339,1.11,2645,3
232580,0.55,2328,3
146000,0.5,1984,3
207375,0.03,2048,4
175000,0.29,1836,4
387000,0.46,3249,4
410000,1,3012,4
239900,0.14,1935,4
250000,0.85,1940,3
224000,0.46,2487,4
124500,0.19,945,2
257500,0.56,3174,6
175000,1,2382,4
755000,1,3956,4
340455,0.38,2886,4
249900,0.42,1571,3
276000,0.21,1579,3
590000,0.86,3690,5
320000,0.25,1884,3
255000,0.92,1832,3
33000,0.74,375,1
145000,0.3,1368,3
135000,0.12,840,2
302459,0.72,2579,4
293550,0.48,2466,4
93805,0.13,840,2
475000,1.17,2560,3
158900,0.31,1508,3
332110,0.51,3515,4
199955,0.24,1338,2
422680,0.16,4486,6
173000,0.21,1064,2
87500,0.52,864,2
141160,0.17,912,2
140000,0.05,1479,3
132500,0.21,1379,3
189675,0.58,2092,3
175000,0.23,1052,2
160000,1,1537,3
107000,0.16,912,2
159450,0.17,1848,2
617000,0.75,3699,4
114900,0.15,908,2
232000,0.34,1877,3
115900,0.15,1385,2
186900,0.41,1820,3
360000,0.16,2208,3
183900,0.37,1728,3
250000,0.43,2226,4
339000,0.47,2492,4
624000,0.36,3484,4
184900,0.16,1511,3
110000,0.15,768,1
295000,0.25,2389,3
253000,0.47,2772,5
425000,0.55,2382,4
151000,0.15,1479,3
135000,0.35,1336,2
92000,0.31,924,2
210000,0.81,2212,4
430000,0.39,3090,4
299900,0.37,1750,4
211000,0.46,1560,3
158000,0.05,1272,3
239000,3.8,1720,3
183000,0.46,1868,4
219900,0.42,1917,3
231647,0.47,2676,4
135900,0.18,1498,2
142700,4.87,1554,3
161000,0.27,1391,3
115900,0.11,1086,3
142000,0.06,1452,3
110000,0.02,1281,2
99500,0.19,929,2
255000,0.94,2330,3
120000,0.26,924,2
56000,0.48,2152,6
382406,0.44,2712,4
129900,0.23,1368,3
162500,0.43,1456,3
230000,0.17,1930,3
152500,0.07,1480,2
255000,0.18,1512,3
359000,0.05,1402,2
336000,0.15,2592,3
300000,0.53,2619,4
124900,0.98,1522,4
154000,0.17,912,2
189900,0.46,2214,3
289550,0.26,1944,4
162000,0.62,1880,3
207000,0.32,1297,3
192000,0.52,2025,4
201745,0.5,2072,4
192000,0.42,2056,4
253605,0.37,2030,4
230000,0.22,1532,3
95300,0.94,1068,3
51000,0.19,1328,4
354900,0.72,1878,3
271000,0.48,2188,4
170784,0.37,1791,3
353845,0.26,2297,3
325046,0.5,2712,4
305555,0.38,2793,4
240000,2.26,2400,3
317172,0.66,3212,5
350000,0.09,1980,3
191500,0.88,2576,4
130000,0.07,1480,3
93625,0.19,840,2
135000,0.34,1004,3
130000,0.04,1166,3
231475,0.56,2673,4
392320,0.27,2604,4
265000,0.42,2310,4
187000,0.46,1858,3
329900,1,3356,5
229000,0.64,1900,3
76320,0.04,864,1
113300,0.2,1163,2
119480,0.09,1480,3
319900,1.03,2572,4
135000,0.16,912,2
267500,0.24,1822,3
78000,0.33,668,1
319900,0.44,1713,3
156500,0.16,912,2
135000,0.06,1280,2
418900,0.52,2718,4
105000,0.36,1144,2
224000,0.52,3074,7
169900,0.06,1452,3
153000,0.21,1064,3
180250,0.43,1612,3
115000,0.13,945,2
725000,0.21,2586,4
272000,0.3,2152,3
162000,0.31,1508,3
161000,0.59,1056,3
400000,7.82,1480,3
390900,0.41,3020,4
285558,0.21,2879,4
336000,0.27,1792,3
199000,0.03,1480,2
217905,0.25,1910,3
201900,0.27,1984,2
76320,0.15,1380,3
230000,0.52,1352,3
175000,0.29,1684,3
630000,0.18,3290,4
112500,0.17,925,3
311000,0.54,2120,3
159900,0.4,1284,4
363775,0.35,2450,3
173040,0.33,1508,3
119000,0.75,1055,2
138000,0.29,1279,3
130000,0.21,1536,3
85000,0.13,1560,3
88000,0.33,720,3
304200,0.47,1900,4
154900,0.48,1838,4
108000,0.16,1032,2
161000,0.09,1276,2
211150,1.5,1736,3
181280,0.39,2248,4
93775,0.13,840,2
371000,0.26,2741,4
178500,0.46,1698,2
128000,1,792,2
203000,0.04,1216,2
325000,0.51,2476,3
146900,0.65,2867,5
268500,0.53,1900,4
375000,0.03,1900,2
294500,0.97,3271,4
187000,0.21,1764,3
122000,0.12,1431,3
145000,0.16,1180,2
491556,0.48,3118,5
270000,0.09,1744,3
195000,0.98,1536,3
220000,0.5,2012,4
120000,0.18,1144,2
290000,0.61,2056,4
130000,1.24,1220,2
194575,0.18,1785,3
27500,0.54,1530,3
258000,0.49,2541,4
97000,0.21,1594,4
157900,0.06,1290,2
375000,2.79,2588,3
155000,1,2128,4
339900,0.87,3028,3
245000,0.68,2134,4
110000,0.16,1480,3
193900,0.23,1652,3
120000,0.29,1228,4
194750,0.47,1805,3
342365,1,2574,4
235000,1.24,2256,4
177400,0.48,1590,3
214500,0.47,1860,3
143700,0.84,1284,3
208000,0.47,1548,3
244500,0.55,2498,4
501500,0.23,2058,2
208000,0.41,1924,4
169000,0.36,1512,3
146000,0.11,1479,3
274900,0.72,1744,3
140000,0.15,1628,3
325000,0.45,2558,4
196000,1,2280,3
225000,0.24,1596,3
197141,0.16,1785,3
104000,0.1,924,2
125000,0.05,1568,3
274530,0.1,2545,4
205500,0.31,1486,3
138000,0.83,1851,3
266000,3.96,2240,4
122600,0.28,1456,3
192500,0.18,1600,3
296933,0.46,2912,4
212308,0.34,1820,3
240000,0.28,1979,4
128500,0.34,1368,3
126000,0.4,1344,3
328000,0.65,2164,3
124740,0.09,1332,2
189900,0.38,1632,3
221825,0.32,1977,3
165000,0.76,2016,2
260000,0.37,2088,3
190000,0.49,1850,4
299900,0.12,1176,2
280000,0.4,2056,3
325000,0.5,2253,4
585000,1,3284,4
397900,0.78,2842,4
188000,0.35,1837,3
259000,0.91,832,2
120000,0.26,1480,3
293500,0.15,1632,3
254208,0.29,2577,4
179000,0.55,1866,3
251000,0.33,1748,3
182500,0.75,1664,2
193000,0.46,2175,4
227000,1.8,1876,3
378500,0.53,2812,4
133000,1.29,1676,2
225000,0.95,1652,3
155000,1.59,1544,3
362000,3,1785,3
203070,0.24,1730,3
250000,0.62,1529,2
190000,4.04,1480,3
224695,0.24,1914,2
222500,0.69,1564,3
389000,0.5,2244,4
128000,0.17,908,2
210000,0.51,1320,3
250000,0.46,2392,4
139900,0.45,1509,3
137000,0.61,1404,3
150000,0.38,1668,4
140000,0.96,2912,3
320000,1.06,2282,3
325000,0.74,1920,3
247000,0.5,2812,4
161000,0.18,1460,2
226000,0.97,1426,3
196000,0.91,1478,3
205650,0.38,2051,3
98300,0.06,728,2
200000,4.92,1440,3
335000,2,3319,3
190000,0.29,1736,3
173000,0.12,1544,4
410000,0.48,2076,4
250000,0.4,2243,3
108000,0.22,960,2
191000,0.78,1684,4
292140,0.36,2061,4
230000,0.74,1056,3
215000,2,1900,3
202900,0.42,1696,3
415000,0.11,2242,3
372775,0.47,2673,4
190000,0.46,1308,3
234900,0.64,1860,3
111300,0.59,1959,3
260000,0.35,1971,4
221795,0.61,2200,4
237500,1,1776,3
186500,0.36,2108,3
202600,0.55,1939,4
169000,0.76,1733,3
200874,1,1322,3
239400,0.47,2696,4
318000,0.6,2064,4
266928,0.47,2668,4
270000,0.61,1352,2
264900,0.5,2652,5
148001,0.09,1276,3
247000,0.34,2251,4
140500,0.16,1592,3
171000,3.16,1008,2
300000,0.92,2144,3
690000,0.17,1764,4
177500,0.31,1096,3
366703,0.15,2117,3
215000,0.19,1666,3
215900,0.37,1680,3
277900,0.34,1431,3
205275,0.67,2486,4
134500,0.49,1040,3
151500,0.51,1660,4
420000,0.4,2894,4
206170,0.25,2374,4
159900,0.27,1597,4
239900,0.26,1774,3
530000,1.47,4859,5
89000,0.24,2039,3
286000,0.47,2004,4
204900,0.03,1616,3
160000,0.33,1365,3
319900,0.46,2460,4
153000,0.25,1542,3
155000,0.38,1386,4
388750,3.22,3642,4
157500,0.51,1328,3
263143,0.49,2460,4
49000,0.21,1548,3
227000,0.42,2620,5
182000,0.29,1932,3
282000,0.47,2086,4
215000,0.3,1778,3
279900,0.07,1744,3
249900,0.23,1956,3
176500,0.37,1380,3
183340,0.17,945,2
48500,0.34,1597,3
122055,0.15,1385,2
135900,0.19,1498,2
184000,0.45,1791,4
210000,4.99,2166,3
275000,1.03,1504,2
207000,0.27,1744,3
262420,0.36,1652,3
349900,0.44,2886,4
227000,0.47,1815,3
320150,1.02,1598,3
149300,0.16,912,2
260610,0.29,2530,3
880000,1,5106,4
309727,0.61,2780,5
150000,0.46,1200,3
216900,0.42,2620,3
146000,0.93,1563,3
313315,0.44,2510,4
260000,0.17,866,3
103500,0.38,1056,3
150000,0.43,1254,3
280000,0.5,2408,3
396146,0.36,3045,4
173000,0.33,1640,4
65000,0.16,768,2
339900,0.78,2445,4
450000,1.17,3388,3
137000,0.33,1100,3
55000,0.49,910,3
170000,0.02,1348,3
375000,0.57,3056,5
243000,0.73,1846,3
135500,0.34,999,3
305035,0.15,1680,2
120000,0.95,960,2
225000,0.08,1359,3
180000,0.65,2140,5
350000,0.18,2122,4
98500,0.16,912,2
289900,0.54,2120,3
239900,0.53,2040,4
139000,0.14,1343,2
172000,0.36,1926,4
129750,0.35,1800,4
169700,0.5,1840,3
249000,0.66,2217,4
299900,0.94,2362,4
265000,0.55,2276,4
124500,0.35,1392,5
175000,0.06,1326,2
88935,0.14,840,2
255000,0.56,2108,4
160000,0.45,1680,4
216457,0.25,2151,3
300000,0.57,2675,4
169900,0.23,1666,3
169695,0.39,1590,3
209000,0.37,1910,4
159600,0.49,2300,5
255900,0.33,1707,3
144200,1.19,1290,3
190300,0.43,1724,3
345000,0.75,3330,4
258000,0.19,1566,3
151000,0.15,1008,3
272000,0.23,1678,3
132000,0.15,1385,2
133797,0.06,1480,3
153000,0.55,1080,2
233000,0.09,2040,4
295000,0.03,1740,3
350000,5.84,2916,3
190000,0.39,2310,5
381307,0.45,3045,4
84500,0.24,1298,3
235000,6.49,2664,4
114000,0.26,1700,3
237500,0.58,2086,4
169600,0.31,1392,3
121900,0.92,1837,4
158500,0.27,1664,3
79900,0.18,950,2
245000,0.03,1428,2
500200,1.19,2702,3
245000,0.48,2524,4
168900,0.16,1672,3
439000,0.53,3085,4
149900,1,2012,3
95000,0.25,1058,2
159900,0.34,1944,3
115540,0.2,1074,3
239900,0.49,1868,3
449105,0.69,3434,4
38000,0.13,816,3
246000,0.57,2564,4
171500,0.31,1782,3
138000,0.31,1672,4
168365,0.16,1376,2
95000,0.14,1450,4
126000,3.96,720,2
219900,1.1,2289,4
137000,0.21,1616,3
178000,0.06,1302,2
272000,0.65,1836,3
265000,1.83,2120,3
180000,0.32,1561,3
303000,0.18,2240,4
207953,1.09,2051,4
214000,0.5,2293,4
174000,0.06,1479,3
490000,2.5,3208,4
235000,0.81,2120,4
165000,0.93,1352,3
215000,0.54,2225,4
290000,0.27,1879,3
150000,0.52,1664,3
112000,0.02,1281,2
201400,0.49,1876,3
315000,0.6,2702,4
107500,0.21,952,3
195000,0.33,1561,3
270000,0.32,2266,4
140000,0.16,1227,3
418900,0.5,2702,4
140000,1,1152,2
1155000,5.88,5632,4
175000,0.11,1331,3
215000,0.49,1196,4
210000,0.16,1352,2
149000,0.15,988,2
120000,0.21,1360,3
380000,0.04,1675,2
104900,0.14,1380,3
164700,0.18,1072,3
79500,2.96,1948,3
237000,0.27,1600,3
367500,0.27,2205,3
119900,0.18,840,1
295000,0.1,2048,3
286887,2,2524,3
167500,0.93,1248,3
270000,1,2110,3
208000,0.54,2190,4
232000,0.32,2100,4
315000,0.96,2538,4
374900,0.56,2526,4
300000,0.52,2436,4
168000,0.08,1536,3
285000,0.39,2300,4
290000,0.23,1402,3
189900,0.39,1618,4
214997,0.15,1845,2
185900,0.5,1865,3
240000,0.93,3284,4
149900,0.12,1242,2
1095250,1,4491,5
128500,0.1,1098,2
169900,2.02,1872,3
151400,0.18,1557,4
361921,0.46,2555,4
192000,0.63,2226,4
139000,0.44,1690,4
399000,0.25,2128,3
215000,0.4,2182,4
329000,5,2514,4
60000,0.4,2458,4
225000,0.47,1650,3
120000,0.13,924,2
424900,0.14,2088,3
487000,0.71,3152,4
147000,0.15,1184,3
229000,0.87,2219,3
120000,0.49,1272,3
185000,0.64,1440,2
128000,0.62,1360,3
315000,1,1374,3
330000,0.28,2274,4
288900,0.52,2179,4
415000,0.5,3337,4
60000,0.4,2458,4
107000,0.46,1712,3
124900,0.17,912,2
210000,0.15,1684,2
175000,1.88,1560,3
403000,0.14,3126,4
229860,0.47,1857,3
253000,0.45,1876,4
210500,0.02,1876,3
145435,0.35,1416,3
224900,0.11,2208,4
100600,0.17,912,2
202500,0.43,1704,3
174900,0.34,1976,4
127000,0.16,1314,2
115000,0.08,1480,3
130000,0.22,1012,3
141000,0.11,1464,2
386847,0.94,3310,5
101000,0.15,908,1
210000,0.47,2016,3
177895,0.57,1836,3
167000,0.99,1454,3
187000,0.24,1228,3
309000,1.89,2032,4
281000,0.49,2256,3
193127,0.19,1752,3
243000,0.34,2393,3
293540,0.37,2369,3
211950,0.36,2342,4
90000,0.21,1234,2
295000,0.14,1474,3
425000,0.69,2291,3
97400,0.17,988,2
358800,0.69,2826,4
317700,5.03,2258,3
450000,0.06,1809,3
565000,2,3084,4
299000,0.81,2936,4
186500,0.46,1631,3
199443,0.08,2026,4
234130,0.24,2217,4
119000,0.1,1189,3
170000,0.52,2247,5
267000,0.33,2455,4
148200,0.12,1432,3
165900,0.16,1184,2
155000,0.33,1234,3
165500,0.2,1375,2
195500,0.21,1292,3
172000,0.34,1368,3
165000,0.53,1632,3
230060,0.46,2134,3
367000,0.71,2736,4
97000,0.16,1132,2
145000,0.28,1671,3
259289,0.19,2244,4
300300,0.13,1208,3
137000,0.36,960,2
243000,0.82,2443,3
171000,0.25,1348,4
328000,0.7,2247,4
195000,0.46,1232,3
155000,2.15,1488,3
165360,0.35,1344,3
229000,2,2137,3
162000,0.24,1368,3
173000,0.33,1596,3
523005,0.05,2342,4
85900,0.13,1480,2
